Equation 1,Equation 2,Value of X,Value of Y
19x - 16y = 87,20x + 15y = 410,13,10
5x + 20y = 250,6x + 16y = 220,10,10
16x + 9y = 86,2x + 20y = 124,2,6
11x + 3y = 91,7x + 10y = 66,8,1
11x - 3y = 55,2x + 5y = 71,8,11
7x + 17y = -42,16x + 19y = 43,11,-7
2x + 6y = 56,16x + 4y = 140,7,7
8x - 6y = 48,14x + 15y = 390,15,12
14x + 17y = 206,5x + 7y = 81,5,8
9x + 19y = 178,7x + 16y = 147,5,7
3x + 2y = 46,3x + 19y = 182,10,8
5x + 9y = 82,10x + 13y = 124,2,8
6x + y = 40,15x + 17y = 245,5,10
14x + 4y = 14,6x + 7y = -31,3,-7
14x - 2y = 106,14x + 19y = 169,8,3
5x + 13y = 132,17x + 15y = 186,3,9
8x - 13y = -11,11x + 3y = 131,10,7
9x + 12y = 60,20x + 3y = 157,8,-1
3x + 7y = -14,19x + 20y = 33,7,-5
9x + 11y = 62,10x + 17y = 88,2,4
20x - 14y = 28,16x + 4y = 144,7,8
6x + 17y = 120,12x + 3y = 54,3,6
8x - 16y = -32,6x + 16y = 60,2,3
8x - 9y = 9,12x + 11y = 185,9,7
7x - 15y = -101,14x + 2y = 118,7,10
20x + 5y = 115,4x + 9y = 47,5,3
8x + 3y = 57,13x + 9y = 105,6,3
3x + 3y = 33,19x + 15y = 205,10,1
8x + 15y = -11,17x + 3y = 121,8,-5
20x + 2y = 162,x + 3y = 11,8,1
17x + 5y = 158,9x + 3y = 84,9,1
4x - 17y = -164,16x + 13y = 316,10,12
13x + 4y = 54,6x + 15y = -54,6,-6
9x - 4y = 77,2x + 11y = 29,9,1
9x + 20y = 125,12x + 20y = 140,5,4
7x + 7y = 42,11x + 15y = 74,4,2
17x + 11y = 167,6x + 3y = 51,4,9
6x - 5y = 67,15x + 4y = 184,12,1
12x + 14y = -4,3x + 5y = -13,9,-8
6x + 16y = 0,8x + 16y = 16,8,-3
2x - 18y = -204,8x + 15y = 315,15,13
14x - 2y = 150,7x + 13y = 103,11,2
3x - 15y = -99,3x + 16y = 149,7,8
18x + 17y = 155,12x + 13y = 115,2,7
8x + 12y = 116,6x + 15y = 105,10,3
14x + 3y = 152,13x + 18y = 202,10,4
10x + 19y = 79,13x + 18y = 96,6,1
4x + 15y = -84,5x + 11y = -43,9,-8
12x + 8y = 104,20x + 11y = 150,2,10
20x + 16y = 164,9x + 19y = 180,1,9
5x + 19y = 73,17x + 4y = 127,7,2
16x - 8y = -96,12x + 8y = 124,1,14
10x - 4y = 122,10x + 10y = 220,15,7
11x - 15y = 2,3x + 19y = 116,7,5
20x + 11y = 85,19x + 5y = 108,7,-5
7x + 18y = 186,9x + 13y = 158,6,8
16x + 4y = 92,10x + 12y = 48,6,-1
4x + 14y = 112,14x + 3y = 116,7,6
3x + 4y = 26,16x + 13y = 172,14,-4
x + 19y = 60,4x + 9y = 39,3,3
6x + 19y = 213,17x + 19y = 290,7,9
3x + 16y = 95,8x + 9y = 85,5,5
20x + 7y = 110,16x + 10y = 44,9,-10
4x + 8y = 12,9x + 17y = 33,15,-6
3x + 18y = 168,8x + 16y = 192,8,8
6x + 16y = -34,6x + 16y = -34,13,-7
15x + 17y = 92,4x + 13y = 33,5,1
5x - 5y = 0,11x + 5y = 16,1,1
20x + 2y = 152,4x + 20y = -48,8,-4
2x - 4y = 16,11x + 20y = 172,12,2
10x + 3y = 62,5x + 12y = 73,5,4
12x + 20y = 248,2x + 4y = 48,4,10
17x - 7y = -40,5x + 6y = 93,3,13
16x + 4y = 32,4x + 15y = -104,4,-8
7x + 16y = -44,12x + 14y = 32,12,-8
2x + 12y = 106,6x + 6y = 78,5,8
13x + 9y = 115,15x + y = 67,4,7
15x + 18y = -63,19x + 15y = -33,3,-6
17x + 18y = 244,8x + 9y = 118,8,6
8x + 20y = -136,6x + 2y = 2,3,-8
18x + 2y = 142,16x + 9y = 119,8,-1
13x + 6y = 110,20x + 5y = 165,8,1
10x + 12y = -78,13x + 5y = -6,3,-9
20x + 5y = 110,2x + 4y = 18,5,2
12x - 7y = 103,10x + 11y = 271,15,11
16x + 14y = 144,x + y = 10,2,8
13x - 11y = -42,16x + 18y = 106,1,5
4x + 18y = 56,6x + 20y = 70,5,2
15x + 10y = 130,13x + 7y = 126,14,-8
8x + 13y = 15,13x + 12y = 70,10,-5
12x - 6y = 162,5x + 10y = 80,14,1
x + 12y = 116,2x + 14y = 142,8,9
2x + 4y = 30,16x + 17y = 135,1,7
7x + 7y = 70,19x + 13y = 154,4,6
12x + 7y = 142,4x + 5y = 74,6,10
9x - 3y = -27,15x + 10y = 135,1,12
4x + 15y = -21,13x + 20y = 18,6,-3
14x - 9y = 128,17x + 3y = 239,13,6
11x - 14y = -45,17x + 9y = 53,1,4
3x + 17y = 117,x + 11y = 71,5,6
16x + 8y = 168,19x + 12y = 202,10,1
13x + 3y = -4,6x + 2y = -8,2,-10
17x + 3y = 66,8x + 8y = 64,3,5
6x + 10y = 74,6x + 9y = 69,4,5
x + 16y = 115,19x + 6y = 99,3,7
7x + 18y = 207,17x + 13y = 257,9,8
17x - 16y = 58,4x + 18y = 166,10,7
4x - 2y = 38,8x + 5y = 175,15,11
20x - 2y = 54,13x + 11y = 72,3,3
16x + 7y = 120,18x + 4y = 166,11,-8
13x - 13y = -91,8x + 16y = 280,7,14
14x + 18y = 56,13x + 8y = 113,13,-7
2x + 8y = 30,19x + 4y = 141,7,2
2x + 5y = -26,14x + 8y = -20,2,-6
11x - 13y = -90,16x + 12y = 240,6,12
18x + 14y = -30,18x + 14y = -30,3,-6
15x - 6y = 93,6x + 5y = 89,9,7
15x + 6y = 105,2x + 15y = 156,3,10
15x + 3y = 69,8x + y = 35,4,3
2x + 19y = 179,14x + 20y = 236,4,9
11x + 7y = -34,5x + 13y = -94,2,-8
17x + 19y = 218,14x + 11y = 147,5,7
19x + 13y = 215,15x + 7y = 173,12,-1
x + 7y = 72,17x + 13y = 164,2,10
18x - 12y = 72,7x + 5y = 57,6,3
2x - 16y = -84,2x + 2y = 24,6,6
13x + 18y = 81,5x + 14y = 17,9,-2
20x + 10y = 140,15x + 2y = 72,4,6
14x + 14y = -14,16x + 8y = 32,5,-6
17x - 16y = -94,13x + 9y = 98,2,8
12x - 3y = 177,7x + 11y = 116,15,1
10x - 3y = 73,12x + 4y = 156,10,9
5x + 6y = 47,7x + 13y = 52,13,-3
3x + 2y = 21,9x + 18y = -45,13,-9
18x + 10y = 138,8x + 10y = 28,11,-6
18x + 5y = 47,14x + 20y = -44,4,-5
15x - 13y = -139,15x + 15y = 225,2,13
7x + 6y = 61,8x + 17y = 90,7,2
2x + 15y = -5,8x + 8y = 32,5,-1
11x + 6y = 111,10x + 18y = 126,9,2
11x + 10y = 56,6x + 20y = 16,6,-1
11x - 3y = 123,6x + 19y = 129,12,3
2x + 3y = 48,14x + 14y = 266,9,10
11x + 16y = 216,17x + 19y = 288,8,8
10x + 3y = 81,18x + 11y = 185,6,7
7x + 16y = 145,7x + 8y = 97,7,6
2x + 13y = -90,11x + 4y = 45,7,-8
9x + 6y = 3,17x + 9y = 8,1,-1
2x - 3y = -36,12x + 20y = 316,3,14
20x + 7y = 141,15x + 16y = 138,6,3
18x + 3y = 3,10x + 3y = -5,1,-5
19x - 11y = 80,13x + 3y = 160,10,10
19x + 8y = 143,12x + 8y = 108,5,6
16x + 11y = 105,14x + 16y = 60,10,-5
17x + 12y = 45,14x + 12y = 18,9,-9
16x + 2y = 150,7x + 2y = 69,9,3
20x + 17y = 176,4x + 16y = 136,2,8
13x + 13y = 78,3x + 11y = -22,11,-5
13x + 20y = 133,6x + 19y = 120,1,6
8x + y = 87,5x + 18y = 176,10,7
3x + 20y = -35,14x + 11y = 166,15,-4
7x + 2y = 82,14x + 18y = 150,12,-1
19x + 11y = 26,4x + 13y = -80,6,-8
18x + 12y = 30,18x + 11y = 29,1,1
19x + 17y = 241,20x + 19y = 257,10,3
17x + 15y = 81,4x + 12y = 36,3,2
16x + 13y = 51,7x + 4y = 24,4,-1
9x + 19y = 80,15x + 4y = 161,11,-1
11x - 7y = 98,16x + 5y = 264,14,8
10x + 2y = 104,13x + 15y = 222,9,7
17x + 12y = 137,20x + 7y = 90,1,10
15x + 8y = 76,20x + 9y = 98,4,2
16x + 5y = 135,5x + 15y = -25,10,-5
9x + 17y = 24,13x + 16y = 86,14,-6
20x + 20y = 40,2x + 16y = -38,5,-3
9x - 13y = -30,9x + 14y = 294,14,12
11x + 17y = 95,2x + 10y = 38,4,3
9x + 10y = 172,8x + 19y = 254,8,10
10x - 9y = 25,17x + 9y = 164,7,5
9x - 7y = 32,13x + 11y = 194,9,7
16x + 11y = 197,18x + 11y = 223,13,-1
2x - 5y = -24,12x + 15y = 306,13,10
13x + y = 120,7x + 6y = 81,9,3
2x + 8y = -44,14x + 3y = 169,14,-9
14x + 14y = 70,11x + 15y = 67,2,3
17x - 17y = -102,16x + 15y = 214,4,10
3x + 17y = 120,4x + 3y = 42,6,6
20x + 12y = 184,2x + 12y = -68,14,-8
3x + 13y = 76,4x + 16y = 96,8,4
20x + 7y = -22,8x + 8y = -40,1,-6
12x + 5y = 83,7x + 18y = 154,4,7
19x + 7y = 146,19x + 4y = 173,11,-9
7x - 6y = 27,9x + 13y = 159,9,6
3x + 16y = 124,20x + 16y = 192,4,7
15x + 20y = 190,8x + 13y = 120,2,8
8x + 12y = 84,2x + 3y = 21,9,1
15x - 15y = 105,15x + 7y = 259,14,7
15x + 20y = 195,16x + 14y = 186,9,3
11x + 2y = 52,5x + y = 24,4,4
11x - 3y = 101,13x + 15y = 379,13,14
4x + 3y = 4,9x + 6y = 15,7,-8
5x + 6y = 41,x + 16y = 23,7,1
15x - 8y = -58,2x + 11y = 125,2,11
5x - 17y = -38,2x + 12y = 60,6,4
4x + 8y = 8,18x + 2y = 104,6,-2
16x + 18y = 170,6x + 9y = 57,14,-3
20x + 14y = 200,15x + 10y = 145,3,10
15x + 17y = 132,x + 11y = 68,2,6
8x + 11y = -45,8x + 12y = -52,4,-7
11x + 6y = 98,17x + 20y = 130,10,-2
17x + 19y = 108,5x + 11y = 48,3,3
8x + 4y = 84,8x + 2y = 102,15,-9
20x + 5y = 200,6x + 11y = 98,9,4
16x + 7y = 29,18x + 8y = 32,4,-5
4x + 13y = 111,12x + 20y = 200,5,7
18x + 12y = 18,17x + 16y = -25,7,-9
4x + 11y = 117,17x + 11y = 247,10,7
2x - 6y = -46,10x + 5y = 50,1,8
3x + 14y = 48,16x + 15y = 77,2,3
2x + 2y = 24,5x + 11y = 102,5,7
4x - 17y = -139,3x + 11y = 157,12,11
6x + 19y = -98,8x + 5y = 32,9,-8
5x - 12y = -32,16x + 6y = 164,8,6
2x + 13y = 79,12x + 14y = 154,7,5
4x - 2y = -20,14x + 20y = 308,2,14
16x + 16y = 144,9x + 17y = 49,13,-4
18x + 10y = 142,20x + 13y = 171,4,7
10x - 4y = 102,7x + 7y = 189,15,12
12x + 14y = 210,3x + 7y = 84,7,9
9x + 4y = 63,8x + y = 33,3,9
5x + 2y = 69,2x + 12y = -6,15,-3
19x - 6y = 16,12x + 15y = 198,4,10
12x + 11y = 128,6x + y = 46,7,4
7x - 4y = 50,19x + 9y = 235,10,5
11x + 19y = 243,14x + 9y = 203,10,7
9x + 11y = 182,16x + y = 138,8,10
14x - 12y = -138,15x + 2y = 75,3,15
2x - 13y = -103,14x + 20y = 278,7,9
12x + 16y = 36,20x + 19y = 129,15,-9
17x - 7y = -74,8x + 2y = 34,1,13
2x + 12y = 18,5x + 2y = 17,3,1
12x + 17y = 9,6x + 13y = -9,5,-3
9x + y = 94,3x + 10y = 70,10,4
10x + 12y = 168,14x + 19y = 255,6,9
14x + 6y = 120,x + 7y = 48,6,6
x + 11y = 72,20x + 7y = 162,6,6
6x + 18y = 90,15x + y = 137,9,2
12x + 20y = 208,14x + y = 131,9,5
11x - 2y = 18,16x + 15y = 259,4,13
13x + 18y = 137,x + 6y = 29,5,4
5x + 9y = 102,16x + 11y = 184,6,8
15x + 2y = 128,19x + 15y = 212,8,4
14x + 19y = 136,5x + 2y = 39,7,2
8x + 17y = -82,13x + 14y = 3,11,-10
14x + 2y = 70,19x + 11y = 153,4,7
19x + 10y = 83,16x + 9y = 67,7,-5
4x + 11y = 38,12x + 19y = 86,4,2
2x - 13y = -66,3x + 13y = 96,6,6
11x - 4y = 69,6x + 10y = 62,7,2
5x - 5y = -15,13x + 2y = 36,2,5
5x - 7y = -21,7x + 19y = 201,7,8
11x + 12y = -26,14x + 5y = 8,2,-4
10x + 9y = 108,6x + 11y = 76,9,2
5x + 5y = 35,19x + 8y = 177,11,-4
7x - 10y = 15,8x + 19y = 291,15,9
8x + 18y = 158,10x + 6y = 82,4,7
16x + 12y = 132,11x + 16y = 145,3,7
10x + 7y = 118,13x + 20y = 197,9,4
13x + 13y = 130,9x + 10y = 93,7,3
13x + 13y = 91,5x + 6y = 27,15,-8
19x + 3y = 98,8x + 16y = 56,5,1
12x - 2y = 90,19x + 10y = 261,9,9
12x + 9y = -36,6x + 10y = -62,3,-8
12x - 12y = 12,9x + 10y = 66,4,3
7x + 3y = 53,14x + 6y = 106,5,6
5x + 15y = 50,2x + 13y = 41,1,3
20x + 9y = 181,2x + 12y = 118,5,9
11x - 18y = 10,6x + 9y = 156,14,8
13x + 5y = 106,15x + 15y = 150,7,3
5x + 19y = 102,20x + 5y = 195,9,3
15x - 14y = -35,10x + 18y = 250,7,10
20x + 5y = 5,9x + 2y = 3,1,-3
13x + 15y = 33,6x + 18y = -18,6,-3
9x + y = 97,15x + 15y = 255,10,7
4x + 11y = 130,2x + 2y = 30,5,10
3x + 6y = 6,12x + 2y = 46,4,-1
9x + 15y = 174,7x + 7y = 98,6,8
10x + 13y = 29,14x + 15y = 63,12,-7
6x + 9y = -30,13x + 4y = 90,10,-10
6x + 5y = 85,17x + 10y = 220,10,5
2x + 7y = 49,20x + 12y = 200,7,5
12x + 19y = 198,16x + 9y = 166,7,6
18x + 19y = 280,13x + 5y = 115,5,10
19x + 9y = 79,18x + 10y = 66,7,-6
19x + 16y = 124,9x + 18y = 90,4,3
2x + 15y = -55,9x + 12y = 30,10,-5
16x + 8y = 72,9x + 14y = -26,8,-7
10x + 10y = 90,5x + 4y = 37,1,8
8x - 6y = -42,2x + 17y = 267,6,15
6x - 12y = 0,13x + 2y = 140,10,5
9x + 14y = 71,3x + 8y = 17,11,-2
18x + 11y = 232,13x + 6y = 152,8,8
16x - 5y = 85,12x + 12y = 300,10,15
9x + 5y = 63,6x + 13y = 129,2,9
7x + 17y = 127,17x + 9y = 147,6,5
4x + 2y = 36,14x + 11y = 118,10,-2
16x - 4y = 80,6x + 2y = 72,8,12
15x + 9y = 12,8x + 14y = -58,5,-7
16x + 5y = 114,15x + 5y = 110,4,10
5x - 7y = -1,12x + 12y = 84,4,3
17x - 17y = 51,20x + 11y = 308,11,8
14x + 11y = 91,10x + 12y = 94,1,7
16x + 2y = 190,6x + 4y = 68,12,-1
19x - 17y = 164,8x + 19y = 226,14,6
18x + 13y = 207,11x + 19y = 226,5,9
15x + 11y = 249,2x + 11y = 119,10,9
7x - 2y = 1,18x + 15y = 204,3,10
19x - 8y = 258,20x + 16y = 296,14,1
13x - 13y = -13,15x + 3y = 75,4,5
10x + 16y = -78,8x + 9y = -32,5,-8
6x + 14y = -72,20x + 10y = 90,9,-9
12x - 16y = 4,3x + 2y = 67,15,11
18x + 20y = -142,14x + 18y = -130,1,-8
8x + 4y = 32,13x + 20y = -56,8,-8
11x - 15y = 25,19x + 15y = 125,5,2
17x + 2y = 27,7x + 20y = 107,1,5
13x - 17y = -33,3x + 16y = 92,4,5
6x - 6y = 24,10x + 7y = 227,15,11
x + 17y = 43,14x + 15y = 156,9,2
12x - 3y = 72,17x + 18y = 369,9,12
11x + 4y = 34,9x + 15y = 63,2,3
9x - 12y = -27,14x + 7y = 266,13,12
15x + 12y = 207,17x + 12y = 225,9,6
17x + 12y = 41,x + 17y = 35,1,2
15x - 9y = -105,18x + 10y = 186,2,15
16x + 15y = 279,20x + 7y = 243,9,9
16x + 5y = 14,5x + 12y = -100,4,-10
x + 2y = 8,6x + 8y = 40,4,2
15x + 2y = 74,8x + 3y = 53,4,7
6x + 10y = 26,19x + 11y = 41,1,2
9x + 11y = 127,11x + 10y = 138,8,5
9x - 3y = 60,15x + 9y = 156,8,4
14x + 11y = 133,x + 16y = 116,4,7
9x - 13y = -138,12x + 15y = 204,2,12
4x + 9y = -38,20x + 12y = 8,4,-6
4x + 17y = 106,19x + 7y = 61,1,6
6x + 4y = 24,19x + 9y = 109,10,-9
3x + 3y = 30,11x + 2y = 83,7,3
7x + 16y = 58,2x + 5y = 17,6,1
11x - 9y = -60,20x + 3y = 162,6,14
13x - 8y = -8,12x + 10y = 236,8,14
2x + 15y = -18,18x + 16y = 76,6,-2
17x + 9y = 217,20x + 19y = 331,8,9
11x - 8y = 42,4x + 3y = 33,6,3
x + 20y = 164,13x + 3y = 76,4,8
8x + 11y = -38,15x + 12y = 15,9,-10
12x - 3y = 174,17x + 18y = 291,15,2
13x + 18y = 177,18x + 13y = 257,15,-1
18x - 13y = 1,4x + 12y = 164,8,11
11x + 8y = 144,20x + 2y = 174,8,7
20x - 2y = 250,10x + 13y = 195,13,5
12x + 13y = 2,6x + 5y = 16,11,-10
12x + 16y = -52,10x + 9y = 0,9,-10
14x + y = 102,9x + 4y = 79,7,4
4x + 19y = 37,8x + 12y = 100,14,-1
2x - 5y = -36,6x + 20y = 172,2,8
20x - 9y = -50,12x + 20y = 224,2,10
14x + 2y = 172,15x + 13y = 130,13,-5
5x + 2y = 20,7x + 18y = 104,2,5
18x + 15y = 186,15x + 5y = 170,12,-2
11x - 16y = -74,9x + 12y = 90,2,6
11x + 16y = 163,14x + 19y = 202,9,4
11x + 20y = 248,18x + 2y = 160,8,8
8x + 17y = 108,16x + 18y = 152,5,4
7x + 8y = 63,13x + 9y = 76,1,7
7x + 16y = 135,9x + 7y = 65,1,8
6x + 5y = 90,5x + 11y = 116,10,6
14x + y = 100,15x + 5y = 115,7,2
9x + 7y = 43,4x + 19y = 35,4,1
4x + 11y = 34,5x + 5y = 25,3,2
8x + 8y = 96,16x + 2y = 150,9,3
3x + 12y = -87,13x + 7y = 28,7,-9
4x + 10y = 46,x + 20y = 64,4,3
5x + 17y = 158,6x + 18y = 168,1,9
16x - 12y = -4,7x + 14y = 287,11,15
8x - 8y = -64,12x + 2y = 72,4,12
8x + 11y = 60,15x + 4y = 46,2,4
x + 2y = 26,14x + 16y = 244,6,10
x + 4y = 38,9x + 14y = 166,6,8
7x - 16y = -123,10x + 19y = 201,3,9
5x - 15y = -160,9x + 5y = 128,7,13
7x - 12y = -12,2x + 20y = 184,12,8
12x + 7y = 92,2x + 10y = 86,3,8
12x + y = 19,19x + 2y = 33,1,7
6x - 14y = -32,4x + 20y = 96,4,4
20x - 6y = 194,3x + 10y = 40,10,1
15x + 8y = 63,16x + 5y = 46,1,6
8x - 9y = -6,2x + 10y = 170,15,14
11x + 20y = 224,8x + 2y = 50,4,9
19x + 7y = -32,9x + 16y = -142,2,-10
2x - 16y = -178,7x + 14y = 217,7,12
20x - 9y = 31,2x + 7y = 11,2,1
2x + 6y = 70,19x + 18y = 275,5,10
13x + 18y = -22,8x + 13y = -27,8,-7
16x + 18y = -4,10x + 3y = 80,11,-10
19x + 4y = 18,4x + 7y = -27,2,-5
3x - 14y = -80,19x + 16y = 226,6,7
20x + 11y = 83,20x + 2y = 146,8,-7
18x - 17y = -115,17x + 8y = 156,4,11
18x + 20y = 174,8x + 7y = 66,3,6
17x - 2y = 116,5x + 11y = 150,8,10
12x - 13y = -6,4x + 2y = 36,6,6
17x - 9y = 237,15x + 14y = 253,15,2
12x + 15y = 51,13x + 10y = 74,8,-3
6x + 9y = 78,15x + 3y = 156,10,2
9x + 16y = 57,15x + y = 18,1,3
12x - 17y = 122,7x + 17y = 125,13,2
18x - 10y = -24,5x + 17y = 290,7,15
14x + 7y = 35,7x + 10y = -2,4,-3
16x + 8y = 160,2x + 11y = 60,8,4
16x + 16y = 0,13x + 20y = -63,9,-9
2x + 12y = 34,6x + 14y = 58,5,2
11x - 7y = 60,11x + 2y = 195,15,15
11x - 8y = 138,4x + 15y = 86,14,2
19x + 17y = 254,18x + 5y = 174,8,6
7x + 7y = 56,2x + 5y = 37,1,7
12x + 20y = 128,18x + 2y = 164,9,1
5x + 13y = 31,20x + 15y = 50,1,2
7x - 17y = -248,8x + 19y = 293,1,15
8x + 11y = 111,10x + 12y = 130,7,5
10x + 19y = -18,15x + 18y = -6,2,-2
17x + 6y = 118,13x + 18y = 50,8,-3
16x - 14y = 68,10x + 15y = 90,6,2
16x - 2y = 174,17x + 17y = 357,12,9
20x - 7y = 95,17x + 7y = 275,10,15
18x + 6y = 120,9x + 11y = 76,6,2
19x + 15y = 91,15x + 7y = 67,4,1
10x + 14y = 24,13x + 3y = 16,1,1
11x + 5y = 53,9x + 13y = 79,3,4
13x + 7y = 81,9x + 7y = 69,3,6
18x + 5y = 220,5x + 9y = -15,15,-10
19x - 6y = 187,7x + 15y = 241,13,10
12x + 18y = 198,8x + 10y = 118,6,7
9x + 12y = -3,4x + 18y = -128,13,-10
9x + 11y = 60,17x + 14y = 93,3,3
13x + 11y = 177,10x + 8y = 132,6,9
8x + 9y = 98,11x + 19y = 201,1,10
8x + y = 32,12x + 14y = 148,3,8
15x + 4y = -1,19x + 5y = -1,1,-4
18x + 16y = 228,12x + 13y = 159,10,3
12x + 5y = 102,20x + 7y = 162,6,6
9x + 4y = 122,11x + 13y = 214,10,8
4x - 7y = 34,19x + 11y = 250,12,2
11x + 16y = -15,18x + 3y = 45,3,-3
14x + 11y = -10,3x + 13y = -66,4,-6
13x - 7y = -40,19x + 4y = 155,5,15
18x + 4y = 40,18x + 17y = 53,2,1
14x + 13y = 33,9x + 8y = 23,7,-5
17x + 5y = 64,10x + 16y = 116,2,6
8x + 14y = 78,10x + 16y = 90,1,5
8x + 17y = 93,17x + 8y = 57,1,5
7x - 2y = -14,17x + 7y = 132,2,14
14x - 2y = 92,14x + 19y = 302,8,10
20x - 9y = -50,8x + 14y = 156,2,10
5x - 2y = 61,10x + 18y = 166,13,2
13x - 3y = -26,16x + 15y = 211,1,13
15x + 6y = 75,11x + 20y = 211,1,10
8x + 10y = 108,9x + 2y = 29,1,10
19x + 9y = 149,2x + 5y = 40,5,6
18x + 11y = 124,9x + 20y = 178,2,8
5x + 20y = -45,11x + 3y = 24,3,-3
16x + 2y = 168,15x + 2y = 157,11,-4
x + y = 15,3x + 8y = 70,10,5
12x + 12y = 84,2x + 5y = -1,12,-5
3x + 15y = -63,18x + 7y = 120,9,-6
18x + 19y = 33,12x + 3y = 51,5,-3
14x + 14y = 98,10x + 5y = 55,4,3
8x + 14y = 78,13x + 2y = 106,8,1
16x + 18y = 202,15x + 16y = 185,7,5
12x - 5y = 140,16x + 19y = 392,15,8
11x + 9y = 180,4x + 8y = 108,9,9
12x + 8y = 104,3x + 4y = 40,4,7
12x + 4y = 112,20x + 2y = 182,9,1
15x + 6y = -45,7x + 14y = -133,1,-10
7x + 17y = 175,3x + 7y = 73,8,7
9x - 7y = 24,20x + 10y = 360,12,12
19x - 7y = 120,8x + 14y = 220,10,10
8x + 2y = 76,16x + y = 134,8,6
15x - 11y = 11,5x + 2y = 83,11,14
16x + 3y = 151,3x + 4y = 18,10,-3
3x - 4y = -8,5x + 2y = 82,12,11
5x + 4y = 29,9x + 6y = 51,5,1
19x + 5y = 240,16x + 6y = 186,15,-9
12x + 16y = 136,9x + 9y = 90,6,4
10x - 11y = 41,16x + 15y = 359,14,9
x + 19y = 79,13x + 8y = 71,3,4
13x + 10y = 92,10x + 8y = 72,4,4
15x - 6y = 96,16x + 7y = 223,10,9
18x + 3y = 60,9x + 4y = 35,3,2
7x + 13y = 9,20x + 12y = 76,5,-2
2x - 5y = -20,3x + 15y = 150,10,8
11x + 5y = 155,20x + y = 209,10,9
x + 2y = 17,20x + 17y = 248,9,4
5x + 4y = 1,6x + 14y = -8,1,-1
4x + 11y = 21,6x + 5y = 43,8,-1
8x - 13y = -163,18x + 2y = 102,4,15
10x - 2y = 64,6x + 16y = 176,8,8
7x + 19y = -58,5x + 20y = -80,8,-6
12x + 5y = 95,5x + 9y = 5,10,-5
19x + 15y = 111,14x + 20y = 46,9,-4
8x + 6y = 74,14x + 13y = 137,7,3
17x + 6y = 143,18x + 18y = 198,7,4
4x + 6y = -2,9x + 6y = 18,4,-3
19x + 11y = 128,10x + 20y = 110,5,3
19x + 17y = 125,11x + 10y = 73,3,4
9x + 3y = 69,7x + 7y = 49,8,-1
16x - 15y = -55,4x + 7y = 83,5,9
16x + 5y = 72,10x + 5y = 60,2,8
14x + 11y = 122,8x + 2y = 44,4,6
3x + 17y = -92,6x + 12y = -30,9,-7
8x + 11y = -19,10x + 19y = -71,10,-9
20x + 7y = 153,3x + 19y = 5,8,-1
19x - 16y = -151,11x + 19y = 280,3,13
14x - 5y = 21,12x + 15y = 153,4,7
13x + 17y = 133,11x + 15y = 115,5,4
9x + 8y = 126,11x + 12y = 174,6,9
7x + 10y = 80,x + 17y = 27,10,1
7x + 15y = 153,20x + 13y = 258,9,6
15x - 6y = 33,7x + 15y = 51,3,2
4x + 9y = -21,3x + 13y = -47,6,-5
14x - 7y = 91,15x + 13y = 159,8,3
8x + 8y = 72,10x + 19y = 162,1,8
17x - 8y = 196,20x + 11y = 251,12,1
13x + 9y = 168,7x + 3y = 72,6,10
3x - 8y = -15,16x + 20y = 296,11,6
16x - 4y = 4,13x + 11y = 46,1,3
7x + 2y = 46,13x + 6y = 74,8,-5
x + 12y = 37,17x + 19y = 74,1,3
11x + 16y = 67,3x + 10y = 7,9,-2
15x - 18y = 102,19x + 6y = 158,8,1
2x - 18y = -248,5x + 8y = 122,2,14
3x + 14y = 60,16x + 9y = 123,6,3
14x + 15y = 92,4x + 20y = -68,13,-6
20x + 8y = 132,18x + 12y = 138,5,4
11x - 3y = 156,5x + 6y = 93,15,3
4x + 7y = 46,11x + 14y = 137,15,-2
14x + 2y = 30,4x + 5y = 44,1,8
17x + 20y = 179,13x + 5y = 106,7,3
x + 19y = 158,18x + 14y = 220,6,8
2x + 12y = 126,7x + 9y = 144,9,9
6x - 2y = 56,17x + 5y = 276,13,11
20x + 9y = 94,4x + 9y = 62,2,6
6x - 3y = 69,9x + 20y = 226,14,5
x + 17y = 87,18x + 15y = 111,2,5
8x + 5y = 38,9x + 8y = 38,6,-2
11x + 15y = 112,8x + 20y = 136,2,6
6x + 2y = 66,6x + 13y = 99,10,3
7x + 12y = 130,7x + 14y = 140,10,5
11x + 8y = 120,14x + 11y = 156,8,4
13x + 17y = 171,18x + 8y = 128,4,7
6x + 8y = 56,6x + 6y = 60,12,-2
7x + 2y = 37,12x + 12y = 72,5,1
10x - 18y = -64,3x + 6y = 72,8,8
2x - 7y = -59,17x + 17y = 340,9,11
8x + 18y = 144,7x + 19y = 139,9,4
12x + 16y = 72,5x + 17y = 61,2,3
9x + 19y = 224,4x + 5y = 72,8,8
19x + 13y = 216,18x + 18y = 216,10,2
7x + 9y = 153,7x + 19y = 253,9,10
19x + 5y = 225,19x + 7y = 239,10,7
15x + 5y = 30,2x + 5y = -9,3,-3
9x + 7y = -19,13x + 2y = 5,1,-4
13x + 17y = 205,3x + 12y = 120,4,9
16x + 3y = 82,20x + 16y = 176,4,6
11x - 6y = 72,16x + 14y = 332,12,10
4x + 13y = -122,12x + 2y = 4,2,-10
16x + 19y = -63,3x + 17y = -79,2,-5
6x + 9y = -66,11x + 2y = -5,1,-8
20x + 12y = 244,x + 3y = 29,8,7
